사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
Oct-25,1호선,150,서울역,699,76,10360,10015,28910,60809,90766,118534,153821,232627,115372,170125,107977,104737,113800,100305,129224,110715,120491,109339,110397,103037,128308,119294,150430,130127,222851,153973,237883,175963,141287,120747,101598,86208,102379,79461,69133,57848,36584,29929,4976,8215,12,167,0,0,0,0
Oct-25,1호선,151,시청,161,5,1830,5534,3857,29099,7542,70124,10117,190655,13669,90122,17267,52821,23063,52117,27342,48215,34188,47629,44604,39144,60843,32239,74595,29383,100992,29254,150990,25537,63129,13701,56796,9665,46938,8173,30175,5622,9874,3284,643,862,0,19,0,0,0,0
Oct-25,1호선,152,종각,122,6,3750,5424,4300,33183,6745,102656,10477,243153,13634,132638,18862,60669,28236,60857,34225,55713,42402,54566,56027,45931,72640,41090,91141,43175,153239,47836,203053,47950,91632,25051,81603,13494,78677,9974,55402,6882,23725,4517,1884,1385,1,1,0,0,0,0
Oct-25,1호선,153,종로3가,187,12,4332,3801,4383,12855,7013,24792,10579,57816,15502,57659,23163,55096,32712,66302,44686,66986,48738,62141,60280,56873,70928,49103,78311,45566,86971,42353,87300,38465,54638,21095,46789,12745,45518,10123,36410,8507,16699,5277,1512,2037,1,15,0,0,0,0
Oct-25,1호선,154,종로5가,50,1,1926,4205,3137,16085,6172,37728,10597,81001,15835,60785,25888,56831,36638,60865,44032,56889,51747,54084,61895,51857,66790,44326,70986,41155,86874,35926,86396,31557,46981,18453,32725,10776,26762,8076,16687,6238,5052,3888,400,1002,1,2,0,0,0,0
Oct-25,1호선,155,동대문,707,32,10682,1943,9093,6563,14913,10724,22028,17963,21747,22059,19822,25396,21743,29451,24825,29193,27605,29847,29712,28760,31386,27159,32273,26439,30643,26581,27301,25840,20286,23099,17081,17039,14930,16016,12268,15262,6381,10166,894,2991,4,255,0,0,0,0
Oct-25,1호선,156,신설동,443,8,8007,2116,9597,8295,20710,22177,30800,48188,21985,29819,20410,20663,21701,18731,23264,18496,24874,20292,23894,19049,25411,21118,29550,22793,39277,25439,47177,30484,19086,22434,13950,16185,11874,15936,8161,13952,3535,9296,389,2735,0,2,0,0,0,0
Oct-25,1호선,157,제기동,335,4,4666,2336,8729,8977,20194,18987,29220,35158,22542,30916,25168,37432,32434,44967,37975,45786,40041,47938,43800,45351,46840,37811,46189,34300,42514,26824,34955,25330,19378,16553,12584,11433,8412,10859,5260,9349,2163,5771,143,1576,0,0,0,0,0,0
Oct-25,1호선,158,청량리(서울시립대입구),1223,56,10504,2922,17451,10825,45932,17280,54820,38096,36645,40120,35324,42311,41372,50934,47223,51796,49083,54140,53595,52902,57673,50143,59224,51455,55503,51102,46118,57690,26323,37189,20969,23734,16659,22199,10006,19243,4400,11789,310,4084,0,1,0,0,0,0
Oct-25,1호선,159,동묘앞,189,4,2749,821,3676,5334,8282,9553,13578,20848,12101,17093,13901,24633,19201,32884,25422,36012,32091,39989,36206,34893,38385,29619,38025,21892,34010,15214,21299,13097,10070,9288,5983,6773,4712,6895,3300,6961,1332,4603,101,1949,0,274,0,0,0,0
Oct-25,2호선,201,시청,17,1,1073,2382,2173,21294,5064,68766,8664,207132,13767,84559,20023,33852,25691,30745,25788,30497,31110,31800,39436,27439,49060,23926,60692,22091,106861,23276,161021,22333,59186,12553,47489,8500,39311,8197,24643,6653,8999,3932,1318,1029,2,61,0,0,0,0
Oct-25,2호선,202,을지로입구,126,3,2633,2618,4635,30698,10848,117779,17700,301829,27428,153775,34878,91171,43813,78614,50340,70568,61641,73714,73604,66041,89217,66249,110262,71133,174539,79569,257723,79172,134928,52112,129794,35287,88268,27413,70905,21032,30408,11564,3899,4729,3,663,0,0,0,0
Oct-25,2호선,203,을지로3가,18,2,1302,1893,2804,21934,6309,66552,13415,153813,19479,63786,23399,32432,26633,28878,27161,27813,28754,29850,33903,28354,38338,30148,50006,34486,89622,42820,127200,47026,54528,30230,42897,18995,43857,15603,38697,13689,22179,8114,3765,1692,3,56,0,0,0,0
Oct-25,2호선,204,을지로4가,5,1,1094,1158,2333,12902,5545,31506,11682,67846,14898,36705,18383,24990,20999,23954,21337,22362,22838,22208,25267,21867,29260,20511,35437,19508,57528,20768,61451,20098,27433,14682,17510,10734,14864,10634,9894,9626,5115,5687,996,1493,3,48,0,0,0,0
Oct-25,2호선,205,동대문역사문화공원(DDP),225,8,4031,1067,3850,8301,6978,19589,12644,42049,16755,31923,19556,32866,21078,33415,23819,32569,26180,34601,30565,36302,37819,35622,43767,33996,48375,36071,48096,38925,34530,34200,26015,24720,23218,20620,16803,17600,9885,11029,1882,3104,0,129,0,0,0,0
Oct-25,2호선,206,신당,34,0,5356,1169,10676,6937,28447,13683,48239,27825,28680,20429,21038,17857,20451,20524,22703,21725,23288,22581,23513,23100,25190,27232,27213,30933,29918,39502,31015,54896,22112,36855,17968,23338,16329,20574,14264,18536,7336,11479,1444,3460,0,31,0,0,0,0
Oct-25,2호선,207,상왕십리,11,2,5792,880,13138,5945,38505,11165,59710,27438,35556,16814,23170,13585,20383,13297,22166,14775,21024,16496,19172,17805,20165,22128,22021,27200,24231,35019,24790,51887,17351,35563,11643,23840,9806,21464,7051,20282,2695,12233,478,3685,1,38,0,0,0,0
Oct-25,2호선,208,왕십리(성동구청),565,3,5901,957,8980,6794,25600,12673,43344,24830,28287,19374,19978,16192,20584,16820,23982,19144,23894,20456,23948,20651,26480,23423,30898,28249,33775,37140,33586,53222,23413,33870,21611,23040,22792,20064,20976,19362,12172,12723,2001,4315,5,120,0,0,0,0
Oct-25,2호선,209,한양대,2,1,1176,633,2778,8506,5718,14322,8808,58029,6837,49408,9393,44593,14673,18613,18036,35191,20472,25226,25079,20904,29998,15465,39635,11879,45324,15521,41591,19517,21317,10268,17548,7260,18316,6570,12892,6149,7091,4255,1388,1270,3,25,0,0,0,0
Oct-25,2호선,210,뚝섬,15,1,3486,1979,8161,13537,17938,37617,24762,125714,17623,93055,16036,47136,19914,40410,24939,40629,29450,41607,35288,37678,44705,38675,55722,38283,83208,42028,125899,47616,68373,28475,47565,17009,40390,13304,24991,11704,9570,7235,1265,2259,2,66,0,1,0,0
Oct-25,2호선,211,성수,93,3,5012,5223,8144,34555,19546,68459,25936,222779,22319,160557,23702,116705,30603,113884,43467,118346,58736,122895,77040,121227,104875,116380,135585,108101,188628,99948,268612,91440,159645,52246,129027,26209,106251,18395,66721,14396,22314,10822,2991,5721,2,898,0,0,0,0
Oct-25,2호선,212,건대입구,337,13,13680,1533,20967,14038,51631,21937,87058,55233,62416,47978,43039,46800,41038,49233,48573,56817,53243,62664,56126,62286,62097,68355,70686,80437,81120,104299,88858,143371,70435,99437,70588,66489,73654,60954,68295,54550,38470,33545,5839,10192,8,817,0,0,0,0
Oct-25,2호선,213,구의(광진구청),97,2,13023,1260,26193,11747,70592,17064,113426,43335,71665,26079,43183,24615,36222,26445,38311,29239,38325,33005,36844,34471,37277,42778,41562,49562,42462,67634,49937,99982,28650,71645,23117,50066,22117,45238,17598,41943,8327,23694,1202,6673,5,89,0,0,0,0
Oct-25,2호선,214,강변(동서울터미널),43,1,8040,1834,19521,22610,58585,24081,88901,39914,70527,35688,58026,34455,51997,33825,47543,37321,45526,41778,43093,44915,46329,52380,48347,57010,54246,69150,54653,85344,40063,58976,33509,42363,27626,34453,17354,30144,6364,15436,733,3674,0,48,0,0,0,0
Oct-25,2호선,215,잠실나루,18,0,3250,2416,12353,16517,36335,20432,46037,34878,29831,22889,24461,17599,23943,16600,23002,20330,21012,21175,22603,19950,25315,20733,32545,23274,35500,28711,27803,39248,14398,27521,10166,18346,7686,17056,5249,15953,2368,8221,345,2311,0,42,0,0,0,0
