사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차,작업일시
Oct-25,1호선,150,서울역,1910355,1828178,266903,254073,2025-11-03 10:04
Oct-25,1호선,151,시청,655243,660638,123372,122566,2025-11-03 10:04
Oct-25,1호선,152,종각,920724,897875,151053,138276,2025-11-03 10:04
Oct-25,1호선,153,종로3가,482418,430149,294234,269470,2025-11-03 10:04
Oct-25,1호선,154,종로5가,455171,445489,242400,236241,2025-11-03 10:04
Oct-25,1호선,155,동대문,269047,267024,127277,125754,2025-11-03 10:04
Oct-25,1호선,156,신설동,284200,273263,119895,114945,2025-11-03 10:04
Oct-25,1호선,157,제기동,219543,211754,263999,285904,2025-11-03 10:04
Oct-25,1호선,158,청량리(서울시립대입구),399903,396226,290454,293785,2025-11-03 10:04
Oct-25,1호선,159,동묘앞,161291,170992,163322,167637,2025-11-03 10:04
Oct-25,2호선,201,시청,666118,611941,65270,59077,2025-11-03 10:04
Oct-25,2호선,202,을지로입구,1311294,1336790,106298,98943,2025-11-03 10:04
Oct-25,2호선,203,을지로3가,621841,625755,72428,72411,2025-11-03 10:04
Oct-25,2호선,204,을지로4가,329373,326103,74499,73185,2025-11-03 10:04
Oct-25,2호선,205,동대문역사문화공원(DDP),394606,461615,61465,67091,2025-11-03 10:04
Oct-25,2호선,206,신당,335120,350089,90094,92577,2025-11-03 10:04
Oct-25,2호선,207,상왕십리,330842,322514,68017,69027,2025-11-03 10:04
Oct-25,2호선,208,왕십리(성동구청),398895,363568,53877,49854,2025-11-03 10:04
Oct-25,2호선,209,한양대,332467,357244,15608,16361,2025-11-03 10:04
Oct-25,2호선,210,뚝섬,633731,661093,65571,64925,2025-11-03 10:04
Oct-25,2호선,211,성수,1401226,1530126,98023,99063,2025-11-03 10:04
Oct-25,2호선,212,건대입구,1010163,1040840,97995,100138,2025-11-03 10:04
Oct-25,2호선,213,구의(광진구청),642863,628791,117272,117775,2025-11-03 10:04
Oct-25,2호선,214,강변(동서울터미널),702104,650521,118922,114879,2025-11-03 10:04
Oct-25,2호선,215,잠실나루,314709,305050,89511,89152,2025-11-03 10:04
Oct-25,2호선,216,잠실(송파구청),2100847,2086214,228967,216540,2025-11-03 10:04
Oct-25,2호선,217,잠실새내,545863,539247,117310,115911,2025-11-03 10:04
Oct-25,2호선,218,종합운동장,283923,323740,60693,64839,2025-11-03 10:04
Oct-25,2호선,219,삼성(무역센터),1278244,1296742,114455,106829,2025-11-03 10:04
Oct-25,2호선,220,선릉,1216050,1065292,229324,202128,2025-11-03 10:04
Oct-25,2호선,221,역삼,1101499,1253268,133555,136682,2025-11-03 10:04
Oct-25,2호선,222,강남,1989956,1976755,157195,137502,2025-11-03 10:04
Oct-25,2호선,223,교대(법원.검찰청),639359,771590,142640,169191,2025-11-03 10:04
Oct-25,2호선,224,서초,496444,473691,90374,89704,2025-11-03 10:04
Oct-25,2호선,225,방배,396693,409281,75882,74728,2025-11-03 10:04
Oct-25,2호선,226,사당,951443,1066411,220294,209927,2025-11-03 10:04
Oct-25,2호선,227,낙성대(강감찬),666957,640705,114535,115870,2025-11-03 10:04
Oct-25,2호선,228,서울대입구(관악구청),1120646,1075474,180396,170562,2025-11-03 10:04
Oct-25,2호선,229,봉천,526058,482091,155617,154611,2025-11-03 10:04
Oct-25,2호선,230,신림,1363064,1326981,202937,203212,2025-11-03 10:04
Oct-25,2호선,231,신대방,580357,545690,133261,132983,2025-11-03 10:04
Oct-25,2호선,232,구로디지털단지,1315167,1299361,217306,216808,2025-11-03 10:04
Oct-25,2호선,233,대림(구로구청),555688,568239,142048,147574,2025-11-03 10:04
Oct-25,2호선,234,신도림,1127675,1093124,230699,216620,2025-11-03 10:04
Oct-25,2호선,235,문래,527707,550560,87778,87846,2025-11-03 10:04
Oct-25,2호선,236,영등포구청,496899,519139,104894,105211,2025-11-03 10:04
Oct-25,2호선,237,당산,449875,513570,60268,65997,2025-11-03 10:04
Oct-25,2호선,238,합정,844539,933589,71018,73894,2025-11-03 10:04
Oct-25,2호선,239,홍대입구,2115840,2322865,104321,101625,2025-11-03 10:04
Oct-25,2호선,240,신촌,993816,1005141,124504,122743,2025-11-03 10:04
Oct-25,2호선,241,이대,447740,482981,50813,54755,2025-11-03 10:04
Oct-25,2호선,242,아현,250616,230686,67914,66871,2025-11-03 10:04
Oct-25,2호선,243,충정로(경기대입구),225384,240717,47788,47459,2025-11-03 10:04
Oct-25,2호선,244,용답,69543,67848,19218,18672,2025-11-03 10:04
Oct-25,2호선,245,신답,37822,41941,9846,10288,2025-11-03 10:04
Oct-25,2호선,246,신설동,77353,72127,34206,35211,2025-11-03 10:04
Oct-25,2호선,247,도림천,26691,27491,9613,10380,2025-11-03 10:04
Oct-25,2호선,248,양천구청,133405,141764,55183,55761,2025-11-03 10:04
Oct-25,2호선,249,신정네거리,208152,213606,78197,79374,2025-11-03 10:04
Oct-25,2호선,250,용두(동대문구청),51565,49924,28852,30202,2025-11-03 10:04
Oct-25,3호선,309,지축,173702,176172,37975,37372,2025-11-03 10:04
Oct-25,3호선,310,구파발,490126,483069,144592,138972,2025-11-03 10:04
Oct-25,3호선,311,연신내,796962,749890,278836,267790,2025-11-03 10:04
Oct-25,3호선,312,불광,327962,344158,152370,167768,2025-11-03 10:04
Oct-25,3호선,313,녹번,340979,305307,83105,81956,2025-11-03 10:04
Oct-25,3호선,314,홍제,373842,350408,150282,146304,2025-11-03 10:04
Oct-25,3호선,315,무악재,85114,81761,33015,35654,2025-11-03 10:04
Oct-25,3호선,316,독립문,164176,175909,75546,76388,2025-11-03 10:04
Oct-25,3호선,317,경복궁(정부서울청사),714679,745573,100062,99108,2025-11-03 10:04
Oct-25,3호선,318,안국,718428,747739,113849,121281,2025-11-03 10:04
Oct-25,3호선,319,종로3가,262032,299921,70005,80060,2025-11-03 10:04
Oct-25,3호선,320,을지로3가,303098,293265,47276,45016,2025-11-03 10:04
Oct-25,3호선,321,충무로,172,0,0,0,2025-11-03 10:04
Oct-25,3호선,322,동대입구,296645,337546,43101,48027,2025-11-03 10:04
Oct-25,3호선,323,약수,275364,272061,82479,76704,2025-11-03 10:04
Oct-25,3호선,324,금호,172177,158407,55791,54661,2025-11-03 10:04
